,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
46,244,1,absolute,1D,0,negative,1D-C,6,1.0,0.5245,0.4,0.53325,14,10.75,11.0,10.5
47,244,1,absolute,1D,0,negative,1D-C,7,1.0,0.58775,0.4,0.53325,9,10.75,11.0,10.5
48,245,3,absolute,2D,1,positive,2D-N,0,0.75,0.69272840021,0.63509268043,0.677494648126,16,15.375,16.0,14.75
49,245,3,absolute,2D,1,positive,2D-N,1,0.78125,1.1527143956,0.977566978599,0.677494648126,16,15.375,16.0,14.75
50,245,3,absolute,2D,1,positive,2D-N,2,0.875,1.27287367005,0.977566978599,0.677494648126,16,15.375,16.0,14.75
51,245,3,absolute,2D,1,positive,2D-N,3,0.8125,1.1943424561,0.651711319066,0.677494648126,16,15.375,16.0,14.75
52,245,3,absolute,2D,1,positive,2D-N,4,0.9375,0.900502115119,0.727961543397,0.677494648126,15,15.375,16.0,14.75
53,245,3,absolute,2D,1,positive,2D-N,5,0.90625,0.64560152545,0.43990514037,0.677494648126,16,15.375,16.0,14.75
54,245,3,absolute,2D,1,positive,2D-N,6,0.84375,0.806248365599,0.570247404183,0.677494648126,14,15.375,16.0,14.75
55,245,3,absolute,2D,1,positive,2D-N,7,0.9375,0.77773599539,0.43990514037,0.677494648126,14,15.375,16.0,14.75
56,246,0,relative,1D,1,positive,1D-C,0,1.0,1.54375,2.15,0.6785625,16,8.75,15.25,2.25
57,246,0,relative,1D,1,positive,1D-C,1,0.96875,0.0838125,0.075,0.6785625,16,8.75,15.25,2.25
58,246,0,relative,1D,1,positive,1D-C,2,0.96875,0.29375,0.085,0.6785625,16,8.75,15.25,2.25
59,246,0,relative,1D,1,positive,1D-C,3,1.0,0.1924375,0.025,0.6785625,13,8.75,15.25,2.25
60,246,0,relative,1D,1,positive,1D-C,4,0.96875,0.6425625,0.7075,0.6785625,7,8.75,15.25,2.25
61,246,0,relative,1D,1,positive,1D-C,5,1.0,0.9121875,1.0735,0.6785625,1,8.75,15.25,2.25
62,246,0,relative,1D,1,positive,1D-C,6,1.0,0.7664375,0.6275,0.6785625,1,8.75,15.25,2.25
63,246,0,relative,1D,1,positive,1D-C,7,1.0,0.7216875,0.685,0.6785625,0,8.75,15.25,2.25
64,247,3,absolute,2D,1,negative,2D-N,0,0.875,1.51364027049,1.43506832458,1.07503855276,0,0.0,0.0,0.0
65,247,3,absolute,2D,1,negative,2D-N,1,0.625,0.800382963728,0.698308678379,1.07503855276,0,0.0,0.0,0.0
