,sid,cond,counter,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late,dimtype,ruletype,ruledir,rulerelation
40,282,2.0,0.0,0.9140625,1.12195031187,1.01509129439,1.01509129439,0.0,0.0,0.0,0.0,relative,2D,comp,2D-P
41,283,1.0,0.0,0.875,0.750625,0.5775,0.5775,10.0,10.0,10.25,9.75,absolute,1D,positive,1D-C
42,284,0.0,0.0,0.95703125,0.98346875,0.870625,0.870625,0.0,0.0,0.0,0.0,relative,1D,negative,1D-C
43,285,2.0,0.0,0.921875,0.868512254044,0.632913520707,0.632913520707,5.625,5.625,9.0,2.25,relative,2D,comp,2D-P
44,286,3.0,0.0,0.66015625,0.595297558009,0.496033777724,0.496033777724,8.5,8.5,13.0,4.0,absolute,2D,comp,2D-P
45,287,1.0,1.0,0.9609375,0.90136875,0.8892,0.8892,13.125,13.125,14.0,12.25,absolute,1D,negative,1D-C
46,288,0.0,1.0,0.95703125,0.78903125,0.6868125,0.6868125,4.75,4.75,7.0,2.5,relative,1D,positive,1D-F
47,289,0.0,1.0,0.95703125,0.94565625,0.731625,0.731625,6.75,6.75,9.5,4.0,relative,1D,negative,1D-F
48,290,2.0,1.0,0.97265625,0.861137223999,0.600338137743,0.600338137743,4.75,4.75,9.5,0.0,relative,2D,positive,2D-N
49,291,1.0,1.0,0.89453125,1.05275,0.92575,0.92575,6.5,6.5,7.0,6.0,absolute,1D,positive,1D-C
50,292,2.0,1.0,0.67578125,1.12044068369,1.0166187428,1.0166187428,0.0,0.0,0.0,0.0,relative,2D,negative,2D-N
51,293,3.0,1.0,0.84375,0.494246663091,0.408337873352,0.408337873352,16.0,16.0,16.0,16.0,absolute,2D,positive,2D-N
52,294,3.0,1.0,0.8203125,1.47788779484,1.60602034997,1.60602034997,5.5,5.5,7.75,3.25,absolute,2D,positive,2D-N
53,295,1.0,0.0,0.91796875,0.76690625,0.64225,0.64225,5.125,5.125,7.25,3.0,absolute,1D,negative,1D-C
54,296,2.0,0.0,0.96875,1.18241308407,1.03421494841,1.03421494841,3.75,3.75,7.25,0.25,relative,2D,comp,2D-P
55,297,0.0,0.0,0.77734375,1.1090234375,1.0030625,1.0030625,8.625,8.625,13.5,3.75,relative,1D,positive,1D-F
56,298,3.0,0.0,0.6953125,1.14263832763,1.00306518396,1.00306518396,12.875,12.875,14.75,11.0,absolute,2D,comp,2D-P
57,299,3.0,1.0,0.7421875,1.15138042399,1.11169731445,1.11169731445,0.0,0.0,0.0,0.0,absolute,2D,negative,2D-N
58,300,0.0,1.0,0.62890625,0.7521640625,0.714875,0.714875,14.375,14.375,15.5,13.25,relative,1D,negative,1D-C
59,301,1.0,1.0,0.8671875,1.13198125,1.1688,1.1688,1.875,1.875,3.75,0.0,absolute,1D,negative,1D-C
60,302,2.0,1.0,0.9609375,0.889547764315,0.780475219528,0.780475219528,6.875,6.875,13.25,0.5,relative,2D,positive,2D-N
61,303,1.0,0.0,0.92578125,0.8728125,0.679,0.679,9.0,9.0,12.25,5.75,absolute,1D,negative,1D-C
62,305,1.0,1.0,0.98828125,0.594725,0.3899,0.3899,6.375,6.375,7.75,5.0,absolute,1D,positive,1D-C
63,306,2.0,0.0,0.97265625,0.951888661616,0.79255224491,0.79255224491,8.125,8.125,13.75,2.5,relative,2D,comp,2D-P
64,307,0.0,0.0,0.79296875,1.030578125,1.020875,1.020875,5.0,5.0,8.75,1.25,relative,1D,positive,1D-C
65,308,3.0,1.0,0.6796875,1.10540422703,0.94905460839,0.94905460839,12.125,12.125,15.0,9.25,absolute,2D,negative,2D-N
66,309,0.0,0.0,0.80078125,1.0147109375,1.0263125,1.0263125,4.25,4.25,7.5,1.0,relative,1D,negative,1D-C
67,310,2.0,1.0,0.87890625,0.539055634898,0.435781029679,0.435781029679,14.875,14.875,15.0,14.75,relative,2D,negative,2D-N
68,311,2.0,1.0,0.84375,1.17367862494,0.913261400788,0.913261400788,7.375,7.375,8.75,6.0,relative,2D,negative,2D-N
69,312,0.0,1.0,0.953125,0.8604921875,0.715125,0.715125,6.25,6.25,12.0,0.5,relative,1D,positive,1D-C
70,313,1.0,0.0,0.99609375,0.7971875,0.6955,0.6955,4.875,4.875,5.0,4.75,absolute,1D,positive,1D-F
71,314,2.0,0.0,0.87890625,0.970045568083,0.91609227183,0.91609227183,5.875,5.875,6.5,5.25,relative,2D,comp,2D-P
72,315,3.0,0.0,0.875,0.924116467446,0.702992853485,0.702992853485,4.25,4.25,3.5,5.0,absolute,2D,comp,2D-P
73,316,3.0,0.0,0.66015625,1.18403217938,1.15369196258,1.15369196258,1.125,1.125,2.25,0.0,absolute,2D,comp,2D-P
74,317,1.0,1.0,0.98046875,0.83685,0.83345,0.83345,3.75,3.75,5.5,2.0,absolute,1D,positive,1D-F
