,x1,x2,resp
0,0.506506158585,0.768565610794,1.0
1,0.398448063468,1.0,0.0
2,0.55576057411,1.0,1.0
3,0.436208301309,0.553348615701,0.0
4,0.675935351241,1.0,1.0
5,0.536654601234,0.993220610779,1.0
6,0.655164124469,0.73687227924,1.0
7,0.369948205876,0.690581374026,0.0
8,0.527725913229,0.764067234867,1.0
9,0.591439866671,1.0,1.0
10,0.510695535609,0.674463950196,1.0
11,0.492044815108,0.563438207493,0.0
12,0.84329181437,0.657300490658,1.0
13,0.480715850083,0.73862667929,0.0
14,0.417159944909,0.767360203253,0.0
15,0.61852870054,0.95169390027,1.0
