,x1,x2,resp
0,0.849442964931,0.0703016942457,0.0
1,0.247650089453,0.950441904899,1.0
2,0.200008204724,0.583671966872,1.0
3,0.811965238114,0.853455842907,1.0
4,1.0,0.655943056706,0.0
5,0.989749559982,1.0,1.0
6,1.0,0.828879005098,0.0
7,0.745075034116,0.0,0.0
8,0.220912214643,1.0,1.0
9,0.385790772328,0.152847825236,0.0
10,0.390669000901,0.308107885983,0.0
11,0.655017810853,0.977360871961,1.0
12,0.920608820344,0.796057798118,0.0
13,0.614161706258,0.492560930623,0.0
14,0.521709845199,0.459044480912,0.0
15,1.0,0.676989201588,0.0
