,x1,x2,resp
0,0.62240203949,0.642299533581,0.0
1,0.904968900698,0.936916375517,0.0
2,0.57926029063,1.0,0.0
3,0.502009137428,0.366590985921,1.0
4,1.0,1.0,1.0
5,0.514873550501,0.525203415381,0.0
6,0.423454054827,0.487709400135,0.0
7,0.4109311169,0.404907073801,1.0
8,0.557487522679,0.611926445264,0.0
9,0.669178288535,0.685620567849,0.0
10,0.83891881517,0.766432911637,1.0
11,0.621293243931,0.595409937331,1.0
12,0.524446146558,0.498373124639,1.0
13,0.889573133409,0.82698852934,1.0
14,0.524311705934,0.697663603448,0.0
15,0.572515942505,0.626509688371,0.0
