,sid,cond,acc,dist_mn,dist_med,avg_dist_med,stimtype,ruletype,rulevariant
101,150,0.0,0.98828125,0.580129908499,0.386592726767,0.386592726767,antenna,rb,angle
102,151,2.0,0.7734375,1.13770437953,0.907712016259,0.907712016259,antenna,ii,pos
103,154,2.0,0.63671875,1.12243141949,0.927082527714,0.927082527714,antenna,ii,pos
104,155,1.0,0.75390625,1.29220436589,1.36303883876,1.36303883876,rectangle,rb,height
105,157,0.0,0.921875,0.79542487632,0.798710444878,0.798710444878,antenna,rb,radius
106,158,0.0,0.953125,0.456886885007,0.378595167663,0.378595167663,antenna,rb,radius
107,160,0.0,1.0,1.04862490747,0.796371164655,0.796371164655,antenna,rb,angle
108,161,0.0,0.91796875,1.36797166352,1.5445357181,1.5445357181,antenna,rb,radius
109,162,0.0,0.95703125,0.574340571876,0.516271937277,0.516271937277,antenna,rb,radius
110,163,0.0,0.984375,0.582605599569,0.506241402261,0.506241402261,antenna,rb,radius
111,164,0.0,0.83984375,1.08016344841,1.11944321135,1.11944321135,antenna,rb,radius
112,165,0.0,0.984375,0.807252536334,0.745567339697,0.745567339697,antenna,rb,angle
