"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",9.54118510495706,4.71690430626208,2.02276418715774,0.0430974656226179
"x1",-17.3001938764605,8.06736307938758,-2.1444669969873,0.031995487078982
"x2",0.151070793180773,2.25489074115989,0.0669969459819875,0.946584134492763
