"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",5.31972306635149,1.7826616637776,2.98414622047719,0.00284370840643437
"x1",-1.39167090963445,1.76642381004404,-0.78784655286081,0.430786467122421
"x2",-9.09614413059927,2.78540419330628,-3.26564602453698,0.00109214678719583
