"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.91504425587187,2.02967395508257,-2.42159300687875,0.0154526462070879
"x1",5.37796835528398,2.42035164784547,2.22197809978203,0.0262847856677118
"x2",6.08805606920918,2.32068372280574,2.62338896480414,0.00870598172939255
