"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.01357778194042,0.705461559487276,-1.43675834396573,0.150786670463438
"x2",1.7994549640153,1.21628644337463,1.4794664314622,0.139015696657601
