"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.93981826759059,0.665148195498406,1.41294567729582,0.157671697180438
"x1",-2.64701924797679,1.25496745214841,-2.10923338565099,0.0349244415041034
