"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.34166239705444,1.4696112922265,0.912936913421363,0.36127572199525
"x1",-7.84246214836068,3.04626318874667,-2.5744532440046,0.0100398655320727
"x2",4.46972956612631,2.23370438521547,2.00103898963118,0.0453881882934816
