"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.07724347231493,1.06300015785196,2.89486643024891,0.0037931989998744
"x1",-6.44693854010519,2.01430520979616,-3.20057680869404,0.00137152808707782
