"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.80446371545964,1.55680541877957,-3.08610418328709,0.00202797751717004
"x1",8.09115795466593,2.57030252395382,3.14793993285256,0.00164425477256667
