"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-13.5525820206769,6.04230832741014,-2.2429477753059,0.0249001824337782
"x1",24.9130620594899,11.1470394461492,2.23494876642751,0.0254207124678085
"x2",0.0816547528313233,1.69858589052124,0.0480721953991189,0.961658705435036
