"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.28222202175791,0.736119317907405,-1.74186710029962,0.0815317019809711
"x1",3.51040896790786,1.37737088524163,2.5486301514875,0.0108146924370872
