"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.31226625257404,1.00856242266731,-1.30112546638763,0.193215512123216
"x1",2.24077993489044,1.42174006696105,1.57608270805793,0.115006743581951
"x2",2.67569545537984,1.37633641953675,1.9440708081244,0.0518869129391831
